,bedroom,bathrooms,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,no_room,pooja_room,study_room,others,servant_room,store_room,maintenance_amt,brok_amt,deposit_amt,mnt_amt,rent
1247,1,1,450.0,Semifurnished,"Family , Bachelors (Women Only)","Reelicon Felicia, Pashan, , Pune, Maharashtra",5,North-East,Vitrified,Yes,No,1,None,None,11,1,0,1,5 to 10 Year Old,0,0,0,1,0,0,0,18000,60000,0.0,10784.0
1248,1,1,550.0,Unfurnished,Family Only,"Shri Niwas Vihar, Narhe, , Pune, Maharashtra",5,East,Mosaic,No,No,1,None,None,24,2,0,0,5 to 10 Year Old,1,0,0,0,0,0,Maintenance 500/ (/ month,0,10000,500.0,3902.0
1249,3,3,0.0,Semifurnished,Family Only,"Kolte Patil Downtown Beryl, Eon Free Zone , , Pune, Maharashtra",9,No Direction,Not provided,No,No,1,None,None,11,1,1,0,5 to 10 Year Old,1,0,0,0,0,0,Maintenance 3800/ (/ month,0,90000,3800.0,36475.0
1250,2,2,750.0,Furnished,All,"Kalpana society, Yerwada, , Pune, Maharashtra",0,West,Marble,Yes,Yes,2,None,None,11,1,1,0,10+ Year Old,1,0,0,0,0,0,0,0,40000,0.0,22939.0
1251,3,3,0.0,Semifurnished,Family Only,"Tejas Poorva Heights, Pashan-Sus Road, , Pune, Maharashtra",6,North-East,Not provided,No,No,1,None,None,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,24000,0,0.0,28239.0
1252,1,1,530.0,Unfurnished,Family Only,"A BUILDING AMOGH, KOTHRUD , Mahatma Society, , Pune, Maharashtra",4,No Direction,Not provided,Yes,No,0,None,None,11,1,0,0,10+ Year Old,1,0,0,0,0,0,0,0,30000,0.0,7542.0
1253,1,1,0.0,Unfurnished,Bachelors (Women Only),"Bibwewadi Annex, , Pune, Maharashtra",0,No Direction,Not provided,No,No,0,None,None,0,0,1,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,0,0.0,2644.0
1254,1,1,0.0,Semifurnished,All,"Shri Ram L Square, Kutwal Colony, , Pune, Maharashtra",1,No Direction,Vitrified,Yes,No,1,Yes,None,12,1,0,1,1 to 5 Year Old,1,0,0,0,0,0,0,0,30000,0.0,7728.0
1255,2,2,0.0,Unfurnished,Family Only,"Shivtej Nagar, , Pune, Maharashtra",0,East,Not provided,No,No,0,None,None,0,1,1,0,10+ Year Old,1,0,0,0,0,0,0,0,30000,0.0,9726.0
1256,1,1,0.0,Unfurnished,All,"on request, Wakad, , Pune, Maharashtra",1,East,Marble,Yes,No,1,None,None,0,0,1,1,0 to 1 Year Old,0,0,0,1,0,0,0,1,15000,0.0,3968.0
1257,1,1,590.0,Unfurnished,"Family , Bachelors (Women Only)","Taco housing, Somatne Phata, , Pune, Maharashtra",6,East,Vitrified,Yes,Yes,1,None,None,11,1,1,2,1 to 5 Year Old,1,0,0,0,0,0,Maintenance 1000/ (/ month,0,20000,1000.0,3968.0
1258,1,1,495.0,Unfurnished,Family Only,"Ellora Nakshatra I Land, Moshi, , Pune, Maharashtra",1,West,Not provided,Yes,No,0,None,None,11,1,0,2,1 to 5 Year Old,0,0,0,1,0,0,0,0,20000,0.0,4354.0
1259,1,1,300.0,Unfurnished,Bachelors (Men/Women),"Shilplekha housing society, Aundh Gaon, , Pune, Maharashtra",0,No Direction,Not provided,No,No,1,None,None,11,1,0,0,10+ Year Old,0,0,0,1,0,0,0,0,20000,0.0,4685.0
1260,1,1,550.0,Semifurnished,All,"Aarav Sheraton, Wagholi, , Pune, Maharashtra",4,No Direction,Others,Yes,No,1,None,Yes,0,0,0,1,0 to 1 Year Old,1,0,0,0,0,0,0,0,20000,0.0,4604.0
1261,2,2,0.0,Furnished,Bachelors (Men Only),"Greenland Society, Pimple Saudagar, , Pune, Maharashtra",7,No Direction,Not provided,No,No,1,None,None,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,15000,0.0,5882.0
1262,3,5,0.0,Unfurnished,All,"Marvel Cerise, Tulaja Bhawani Nagar, , Pune, Maharashtra",4,South,Marble,Yes,No,1,None,None,11,1,0,2,1 to 5 Year Old,0,0,0,0,1,0,0,36000,100000,0.0,47654.0
1263,2,2,0.0,Unfurnished,All,"Mark 1 Residency, Wakad, , Pune, Maharashtra",3,West,Vitrified,Yes,No,1,Yes,None,12,1,0,2,5 to 10 Year Old,1,0,0,0,0,0,Maintenance 1000/ (/ month,9000,30000,1000.0,12050.0
1264,3,3,1685.0,Semifurnished,Family Only,"Global Precioso, Eon Free Zone , , Pune, Maharashtra",5,No Direction,Not provided,Yes,No,1,None,None,0,1,1,2,1 to 5 Year Old,1,0,0,0,0,0,0,0,100000,0.0,47066.0
1265,2,2,950.0,Semifurnished,"Family , Bachelors (Women Only)","Bhujbal Shivranjan Towers, Someshwarwadi, , Pune, Maharashtra",1,West,Vitrified,Yes,No,1,None,None,24,2,0,1,5 to 10 Year Old,1,0,0,0,0,0,0,0,6,0.0,23020.0
1266,2,2,780.0,Unfurnished,Family Only,"Suda Suman Society, Hadapsar, , Pune, Maharashtra",1,East,Ceramic,Yes,No,1,None,None,0,0,0,2,1 to 5 Year Old,1,0,0,0,0,0,0,17000,56000,0.0,15852.0
1267,3,3,1324.0,Semifurnished,Family Only,"Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",3,No Direction,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,3,0.0,44582.0
1268,2,1,0.0,Unfurnished,All,"Rahatani, , Pune, Maharashtra",0,East,Others,No,No,2,None,None,11,1,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,30000,0.0,8645.0
1269,1,1,600.0,Unfurnished,"Family , Bachelors (Women Only)","Shankarsuman Park shivshakti chowk bhekrai Nagar, Bhekrai Nagar, , Pune, Maharashtra",3,East,Not provided,Yes,No,1,None,None,0,2,0,1,5 to 10 Year Old,1,0,0,0,0,0,0,0,0,0.0,5291.0
1270,2,2,664.0,Unfurnished,All,"Siddhivinayak Aspiria, Hinjewadi, , Pune, Maharashtra",2,North-East,Ceramic,Yes,No,1,Yes,None,0,1,0,0,1 to 5 Year Old,1,0,0,0,0,0,Maintenance 5000/ ((one time fee,0,50000,5000.0,17407.0
1271,1,1,400.0,Unfurnished,Family Only,"Tukai Darshan, , Pune, Maharashtra",0,No Direction,Vitrified,No,No,1,None,None,0,0,1,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,21000,0.0,4762.0
1272,1,1,0.0,Semifurnished,All,"dayasagar sahakari gruha rachna society, Yerwada, , Pune, Maharashtra",1,No Direction,Not provided,No,No,1,None,None,0,0,1,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,0,0.0,3599.0
1273,3,2,850.0,Semifurnished,Family Only,"F5 Epic, Wagholi, , Pune, Maharashtra",5,East,Not provided,Yes,No,1,None,Yes,0,0,1,1,1 to 5 Year Old,1,0,0,0,0,0,0,0,60000,0.0,22955.0
1274,1,1,0.0,Semifurnished,All,"Lavender Apartment, Tulaja Bhawani Nagar, , Pune, Maharashtra",3,No Direction,Not provided,Yes,No,1,None,None,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,Maintenance 700/ (/ month,0,45000,700.0,9925.0
1275,1,1,0.0,Semifurnished,All,"Samarth Colony, , Pune, Maharashtra",0,No Direction,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,30000,0.0,9557.0
1276,2,2,670.0,Unfurnished,All,"Venkatesh Classic Pune, Handewadi, , Pune, Maharashtra",1,No Direction,Not provided,Yes,No,1,Yes,Yes,0,0,1,1,0 to 1 Year Old,1,0,0,0,0,0,0,0,50000,0.0,15537.0
1277,1,1,0.0,Unfurnished,All,"Pride Regency, Viman Nagar, , Pune, Maharashtra",5,East,Ceramic,Yes,No,0,None,None,11,0,1,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,3,0.0,9527.0
1278,1,1,0.0,Unfurnished,Family Only,"Janwadi, , Pune, Maharashtra",1,No Direction,Not provided,No,No,0,None,None,0,0,0,0,10+ Year Old,1,0,0,0,0,0,0,0,15000,0.0,4166.0
1279,1,1,650.0,Furnished,Family Only,"On Req, Pimple Gurav, , Pune, Maharashtra",0,North-East,Ceramic,No,No,1,None,None,0,0,0,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,20000,0.0,7145.0
1280,1,1,650.0,Furnished,All,"Anandnagar park Society, Mayur Colony, , Pune, Maharashtra",3,West,Not provided,Yes,No,0,None,None,12,0,0,0,10+ Year Old,1,0,0,0,0,0,0,0,80000,0.0,16146.0
1281,2,2,0.0,Unfurnished,Family Only,"Megapolis Sunway, Hinjewadi, , Pune, Maharashtra",5,No Direction,Not provided,No,No,1,None,None,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,0,0.0,12159.0
1282,4,4,2100.0,Semifurnished,All,"Kolte Patil 24K Opula, Pimple Nilakh, , Pune, Maharashtra",1,East,Not provided,Yes,No,2,Yes,Yes,0,0,0,2,0 to 1 Year Old,1,0,0,0,0,0,0,60000,300000,0.0,142919.0
1283,2,2,821.0,Unfurnished,Family Only,"7 Plumeria Drive, Dange Chowk, , Pune, Maharashtra",9,South,Vitrified,No,No,1,None,Yes,11,1,0,1,0 to 1 Year Old,0,1,0,0,0,0,Maintenance 1/ (/ month,17000,50000,1.0,17024.0
1284,2,1,900.0,Semifurnished,All,"Milan Apartment, Sadashiv Peth, Perugate, , Pune, Maharashtra",2,No Direction,Vitrified,No,No,2,None,None,0,1,0,0,10+ Year Old,0,1,0,0,0,0,0,0,3,0.0,18187.0
1285,22,22,0.0,Unfurnished,Family Only,"Kharadi, , Pune, Maharashtra",0,No Direction,Not provided,No,No,1,None,None,0,0,0,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,4,0.0,297560.0
1286,1,1,500.0,Furnished,Family Only,"RK Lunkad Nisarg Ashish, Vishal Nagar, , Pune, Maharashtra",4,East,Vitrified,No,Yes,1,None,None,0,1,0,1,5 to 10 Year Old,1,0,0,0,0,0,0,0,30000,0.0,15706.0
1287,2,2,947.0,Unfurnished,All,"Majestique Aqua, Phursungi, , Pune, Maharashtra",2,East,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,0,0.0,11980.0
1288,1,3,500.0,Semifurnished,Family Only,"Shiv Palace, Anand Nagar, , Pune, Maharashtra",2,West,Others,Yes,No,0,None,None,0,2,0,0,10+ Year Old,1,0,0,0,0,0,0,0,0,0.0,10097.0
1289,2,2,872.0,Semifurnished,All,"Sunshine Residency, Pimpri Chinchwad, , Pune, Maharashtra",4,East,Vitrified,No,No,1,None,None,11,1,1,1,10+ Year Old,1,0,0,0,0,0,0,0,3,0.0,21118.0
1290,2,2,930.0,Furnished,Family Only,"Vardhaman Heights Phase 2, Rahatani, , Pune, Maharashtra",5,West,Not provided,Yes,No,1,None,None,11,1,0,1,1 to 5 Year Old,1,0,0,0,0,0,0,0,80000,0.0,28104.0
1291,1,1,700.0,Semifurnished,Family Only,"Salpe Sankul, uttkarsh society katraj, Katraj Lake, Katraj Kondhwa Road, , Pune, Maharashtra",1,South,Ceramic,Yes,No,0,None,None,11,1,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,30000,0.0,7867.0
1292,1,1,650.0,Unfurnished,All,"Chandrarang 10 Elite, Pimple Gurav, , Pune, Maharashtra",0,East,Vitrified,Yes,No,1,None,None,11,1,0,0,5 to 10 Year Old,0,0,0,1,0,0,0,0,20000,0.0,5567.0
1293,2,2,0.0,Unfurnished,All,"Sneha Vihar, Dangat Patil Nagar, , Pune, Maharashtra",4,North,Vitrified,Yes,No,1,None,None,11,1,1,0,5 to 10 Year Old,1,0,0,0,0,0,Maintenance 1000/ (/ month,0,30000,1000.0,8915.0
1294,1,1,380.0,Unfurnished,"Family , Bachelors (Women Only)","Amol shree appratmemt sasanenagar, Kanifnath Colony, , Pune, Maharashtra",1,East,Ceramic,Yes,No,0,None,None,0,0,0,0,10+ Year Old,1,0,0,0,0,0,0,0,0,0.0,4430.0
1295,2,2,0.0,Semifurnished,Family Only,"Audumbar Srushti, Ambegaon Pathar, , Pune, Maharashtra",4,West,Not provided,Yes,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,50000,0.0,9005.0
1296,3,3,0.0,Semifurnished,All,"The Greater Ganga Panama, Pimple Nilakh, , Pune, Maharashtra",7,North-West,Not provided,No,No,2,None,None,0,0,0,0,1 to 5 Year Old,0,0,0,1,0,0,0,0,50000,0.0,21569.0
1297,2,2,70.79,Unfurnished,All,"Kohinoor Majesty, Talegaon, , Pune, Maharashtra",3,No Direction,Not provided,Yes,No,1,None,None,0,0,1,0,Under Construction,1,0,0,0,0,0,0,0,30000,0.0,6574.0
1298,1,1,500.0,Unfurnished,All,"Abhilash Apartment, Aundh, , Pune, Maharashtra",1,East,Vitrified,Yes,No,1,None,None,11,1,0,2,5 to 10 Year Old,1,0,0,0,0,0,Maintenance 1/ (/ year,14000,35000,0.083333333,8469.0
